"Statsborgerskap","Kvinner totalt","Menn totalt","Totalt","Kvinner(jenter) 0 - 5 år","Kvinner(jenter) 6 - 10 år","Kvinner(jenter) 11 - 17 år","Kvinner voksne","Menn(gutter) 0 - 5 år","Menn(gutter) 6 - 10 år","Menn(gutter) 11 - 17 år","Menn voksne"
"Afghanistan","270","143","413","22","13","24","211","19","29","44","51"
"Albania","22","18","40","2","2","1","17","4","2","2","10"
"Algerie","21","13","34","4","1","0","16","5","2","0","6"
"Argentina","8","12","20","1","0","0","7","1","1","0","10"
"Armenia","7","2","9","0","0","1","6","0","1","1","0"
"Aserbajdsjan","7","2","9","1","2","0","4","0","0","0","2"
"Australia","39","39","78","5","6","1","27","5","0","0","34"
"Bangladesh","78","57","135","25","3","2","48","19","3","0","35"
"Bosnia-Hercegovina","42","34","76","12","1","3","26","13","0","2","19"
"Brasil","137","51","188","20","5","10","102","12","9","5","25"
"Burundi","6","3","9","2","0","0","4","1","0","1","1"
"Canada","54","32","86","12","3","2","37","11","0","1","20"
"Chile","8","9","17","0","0","0","8","1","0","2","6"
"Colombia","41","17","58","0","1","0","40","1","0","5","11"
"Cuba","7","10","17","1","0","1","5","0","1","0","9"
"Dem. Rep. Kongo (DRC)","39","36","75","31","1","2","5","26","1","2","7"
"Dominikanske Republikk","6","3","9","2","1","0","3","0","0","0","3"
"Ecuador","3","7","10","0","0","1","2","1","1","1","4"
"Egypt","30","17","47","13","0","0","17","10","1","1","5"
"Eritrea","589","398","987","153","46","104","286","159","78","104","57"
"Etiopia","91","60","151","28","2","4","57","19","9","0","32"
"Filippinene","386","121","507","36","19","26","305","38","11","28","44"
"Gambia","3","14","17","0","0","1","2","0","1","5","8"
"Georgia","5","2","7","0","1","0","4","0","0","0","2"
"Ghana","29","18","47","10","4","1","14","8","0","3","7"
"Guatemala","4","3","7","1","0","0","3","1","0","0","2"
"Hviterussland","23","7","30","4","0","1","18","2","2","1","2"
"India","581","314","895","166","44","13","358","171","37","22","84"
"Indonesia","29","21","50","3","1","1","24","9","4","0","8"
"Irak","64","49","113","12","4","4","44","19","4","3","23"
"Iran","171","120","291","31","6","6","128","31","6","9","74"
"Israel","9","7","16","0","2","2","5","0","0","1","6"
"Japan","50","14","64","8","4","3","35","5","4","1","4"
"Jemen","22","10","32","6","2","3","11","1","0","6","3"
"Jordan","14","3","17","1","3","2","8","0","0","0","3"
"Kambodsja","5","0","5","0","0","1","4","0","0","0","0"
"Kamerun","14","8","22","4","1","3","6","2","0","2","4"
"Kasakhstan","16","8","24","2","1","0","13","4","1","1","2"
"Kenya","26","12","38","1","3","3","19","3","1","3","5"
"Kina","137","63","200","23","5","4","105","24","6","9","24"
"Kosovo","41","29","70","8","1","3","29","5","2","3","19"
"Kuwait","3","8","11","0","0","1","2","2","3","1","2"
"Libanon","17","10","27","1","2","1","13","2","1","0","7"
"Liberia","3","4","7","0","0","1","2","1","1","0","2"
"Libya","3","3","6","1","0","0","2","0","1","0","2"
"Madagaskar","1","4","5","0","0","0","1","1","1","1","1"
"Malaysia","25","12","37","9","2","0","14","8","2","0","2"
"Marokko","55","24","79","0","2","3","50","1","2","0","21"
"Mexico","36","21","57","1","3","1","31","5","2","1","13"
"Moldova","3","2","5","1","0","0","2","2","0","0","0"
"Montenegro","11","7","18","3","1","0","7","3","1","0","3"
"Myanmar","5","4","9","0","0","0","5","1","0","1","2"
"Nepal","46","52","98","15","1","0","30","16","1","0","35"
"New Zealand","9","10","19","4","0","2","3","1","0","1","8"
"Nigeria","41","34","75","6","2","4","29","9","6","6","13"
"Nord-Makedonia","17","15","32","3","0","0","14","4","2","0","9"
"Pakistan","256","215","471","71","10","4","171","89","19","5","102"
"Peru","11","4","15","0","1","0","10","0","0","0","4"
"Russland","184","66","250","27","8","8","141","27","11","5","23"
"Rwanda","4","6","10","0","0","0","4","2","1","0","3"
"Senegal","3","2","5","1","0","1","1","0","0","1","1"
"Serbia","134","107","241","35","12","9","78","46","8","14","39"
"Somalia","119","100","219","27","10","32","50","31","7","47","15"
"Sri Lanka","24","31","55","3","0","0","21","6","1","2","22"
"Statsløs","43","20","63","13","3","3","24","5","2","1","12"
"Storbritannia","356","304","660","130","50","22","154","116","50","49","89"
"Sudan","69","27","96","32","3","1","33","21","2","1","3"
"Syria","453","388","841","283","20","27","123","292","34","25","37"
"Sør-Afrika","25","18","43","2","3","1","19","3","0","3","12"
"Sør-Korea","33","10","43","3","2","0","28","7","2","0","1"
"Sør-Sudan","6","10","16","6","0","0","0","9","0","0","1"
"Tanzania","8","8","16","1","0","1","6","2","0","0","6"
"Thailand","293","46","339","6","12","30","245","7","8","20","11"
"Trinidad og Tobago","4","3","7","0","1","0","3","1","0","1","1"
"Tunisia","15","13","28","0","0","0","15","3","4","0","6"
"Tyrkia","161","114","275","33","7","14","107","25","10","15","64"
"Uganda","13","12","25","2","0","2","9","1","2","5","4"
"Ukraina","141","46","187","16","6","5","114","20","8","7","11"
"USA","288","253","541","50","23","26","189","45","28","18","162"
"Usbekistan","8","3","11","5","0","0","3","1","0","0","2"
"Venezuela","10","4","14","2","0","0","8","0","0","0","4"
"Vietnam","80","18","98","8","3","4","65","5","1","4","8"
"Zimbabwe","2","4","6","0","0","0","2","1","0","0","3"
"EØS","99","43","142","11","4","4","80","17","5","2","19"
"Andre","45","30","75","3","0","4","38","5","2","4","19"
"Totalt","6 296","3 901","10 197","1 464","379","444","4 009","1 473","445","508","1 475"