"Statsborgerskap","Ektefelle/partner","Barn","Foreldre","Andre","Total","Innvilgesesprosent"
"Afghanistan","200","42","51","120","413","75 %"
"Albania","24","14","1","1","40","82 %"
"Algerie","22","12","0","0","34","81 %"
"Argentina","16","3","0","1","20","100 %"
"Armenia","6","3","0","0","9"," "
"Aserbajdsjan","4","3","2","0","9"," "
"Australia","57","13","0","8","78","95 %"
"Bangladesh","78","52","1","4","135","97 %"
"Bosnia-Hercegovina","41","32","3","0","76","97 %"
"Brasil","123","62","1","2","188","90 %"
"Burundi","5","2","0","2","9"," "
"Canada","55","29","0","2","86","96 %"
"Chile","13","3","0","1","17"," "
"Colombia","48","7","1","2","58","92 %"
"Cuba","14","3","0","0","17"," "
"Dem. Rep. Kongo (DRC)","12","16","0","47","75","77 %"
"Dominikanske Republikk","6","3","0","0","9"," "
"Ecuador","6","4","0","0","10"," "
"Egypt","20","25","1","1","47","92 %"
"Eritrea","290","426","11","260","987","86 %"
"Etiopia","80","46","7","18","151","80 %"
"Filippinene","331","163","6","7","507","93 %"
"Gambia","8","6","1","2","17"," "
"Georgia","5","1","1","0","7"," "
"Ghana","20","25","0","2","47","77 %"
"Guatemala","5","2","0","0","7"," "
"Hviterussland","16","11","1","2","30","97 %"
"India","422","452","12","9","895","96 %"
"Indonesia","30","19","0","1","50","98 %"
"Irak","54","26","4","29","113","75 %"
"Iran","194","80","5","12","291","72 %"
"Israel","11","5","0","0","16"," "
"Japan","38","25","0","1","64","97 %"
"Jemen","12","11","2","7","32","80 %"
"Jordan","10","6","0","1","17"," "
"Kambodsja","3","2","0","0","5"," "
"Kamerun","8","13","1","0","22","92 %"
"Kasakhstan","14","10","0","0","24","92 %"
"Kenya","23","14","0","1","38","79 %"
"Kina","123","67","5","5","200","95 %"
"Kosovo","43","23","2","2","70","69 %"
"Kuwait","4","7","0","0","11"," "
"Libanon","19","6","0","2","27","73 %"
"Liberia","3","4","0","0","7"," "
"Libya","4","2","0","0","6"," "
"Madagaskar","2","2","0","1","5"," "
"Malaysia","16","21","0","0","37","100 %"
"Marokko","67","8","4","0","79","65 %"
"Mexico","43","13","0","1","57","95 %"
"Moldova","2","3","0","0","5"," "
"Montenegro","9","9","0","0","18"," "
"Myanmar","7","1","0","1","9"," "
"Nepal","63","32","0","3","98","86 %"
"New Zealand","9","6","0","4","19"," "
"Nigeria","40","32","0","3","75","75 %"
"Nord-Makedonia","21","9","1","1","32","82 %"
"Pakistan","258","193","10","10","471","79 %"
"Peru","12","2","0","1","15"," "
"Russland","138","86","18","8","250","91 %"
"Rwanda","7","2","0","1","10"," "
"Senegal","2","3","0","0","5"," "
"Serbia","109","129","2","1","241","93 %"
"Somalia","41","133","2","43","219","67 %"
"Sri Lanka","34","11","5","5","55","81 %"
"Statsløs","29","16","4","14","63","79 %"
"Storbritannia","118","70","2","470","660","99 %"
"Sudan","36","36","0","24","96","75 %"
"Syria","115","191","32","503","841","91 %"
"Sør-Afrika","28","12","1","2","43","93 %"
"Sør-Korea","28","14","0","1","43","96 %"
"Sør-Sudan","1","2","0","13","16"," "
"Tanzania","12","4","0","0","16"," "
"Thailand","244","87","1","7","339","92 %"
"Trinidad og Tobago","4","3","0","0","7"," "
"Tunisia","20","7","1","0","28","82 %"
"Tyrkia","155","88","4","28","275","87 %"
"Uganda","12","12","0","1","25","83 %"
"Ukraina","114","63","8","2","187","89 %"
"USA","325","191","5","20","541","92 %"
"Usbekistan","4","5","1","1","11"," "
"Venezuela","10","3","1","0","14"," "
"Vietnam","66","28","2","2","98","78 %"
"Zimbabwe","5","1","0","0","6"," "
"EØS","72","38","7","25","142","91 %"
"Andre","54","17","2","2","75","86 %"
"Total","4 852","3 363","232","1 750","10 197","87 %"